user,item,timestamp,state_label,source_outgoing_tx_count,source_incoming_tx_count,source_incoming_value_list,source_outgoing_value_list,source_incoming_tx_volume,source_outgoing_tx_volume,source_incoming_value_variance,source_outgoing_value_variance,source_activity_rate,source_change_in_activity,source_time_since_last,source_tx_volume,source_ico_participation,source_flash_loan,source_token_airdrop,source_phishing,source_frequent_large_transfers,source_gas_price,source_token_swaps,source_smart_contract_interactions,source_last_transaction_block,target_outgoing_tx_count,target_incoming_tx_count,target_incoming_value_list,target_outgoing_value_list,target_incoming_tx_volume,target_outgoing_tx_volume,target_incoming_value_variance,target_outgoing_value_variance,target_activity_rate,target_change_in_activity,target_time_since_last,target_tx_volume,target_ico_participation,target_flash_loan,target_token_airdrop,target_phishing,target_frequent_large_transfers,target_gas_price,target_token_swaps,target_smart_contract_interactions,target_last_transaction_block
0xdF1B90f396e2639718b6576ab4F1f111bDd8b946,0x5fAa989Af96Af85384b8a938c2EdE4A7378D9875,1695113375,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,16,0,False,False,False,False,False,0,0,0,18168874,0,1,[0],[],0,0,0,0,0.047619047619047616,1,16,0,False,False,False,False,False,0,0,0,18168874
0xFbb0Fb3D43b603BB70f4B6795fC909B740a95F34,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1695113567,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890,0,1,[70000000000000000],[],70000000000000000,0,0,0,0.047619047619047616,1,19,70000000000000000,False,False,False,False,False,0,0,0,18168871
0x0749820c1dD12244A8e431eD2E2525cA77777189,0x1a0ad011913A150f69f6A19DF447A0CfD9551054,1695113567,1229000000000000,1,0,[],[1229000000000000],0,1229000000000000,0,0,0.047619047619047616,1,0,1229000000000000,False,False,False,False,False,0,0,0,18168890,0,1,[7000000000000000],[],7000000000000000,0,0,0,0.047619047619047616,1,16,7000000000000000,False,False,False,False,False,0,0,0,18168874
0x4d663844665603566Af428f611413aeB07D8355a,0xC585Ad419C5650041b74b105075248F80AC9135d,1695113567,1884670712400000000,0,1,[1888420712400000000],[],1888420712400000000,0,0,0,0.047619047619047616,1,15,1888420712400000000,False,False,False,False,False,0,0,0,18168875,0,1,[1884670712400000000],[],1884670712400000000,0,0,0,0.047619047619047616,1,0,1884670712400000000,False,False,False,False,False,0,0,0,18168890
0x54B50187BEcD0BBCfD52EC5d538433daB044d2A8,0xfA8c0F00234539D27002C13736Cb69dfc71271E5,1695113567,1620000000000000,1,0,[],[1620000000000000],0,1620000000000000,0,0,0.047619047619047616,1,0,1620000000000000,False,False,False,False,False,0,0,0,18168890,0,1,[1620000000000000],[],1620000000000000,0,0,0,0.047619047619047616,1,0,1620000000000000,False,False,False,False,False,0,0,0,18168890
0xDA5839d3132e408f9909ECBC5b4ca95dC94fF476,0x61Ad1018328a2A4991A94947562beF33F71Cb3EC,1695113567,10000000000000000,1,0,[],[10000000000000000],0,10000000000000000,0,0,0.047619047619047616,1,0,10000000000000000,False,False,False,False,False,0,0,0,18168890,0,1,[10000000000000000],[],10000000000000000,0,0,0,0.047619047619047616,1,0,10000000000000000,False,False,False,False,False,0,0,0,18168890
0x2176410579D8b5DEC0188dA1E97A16C010093DE6,0xC626064b0fE4474C57340a9fa9AE62B86125424c,1695113567,4065545000000000,1,0,[],[4065545000000000],0,4065545000000000,0,0,0.047619047619047616,1,0,4065545000000000,False,False,False,False,False,0,0,0,18168890,0,1,[3985592000000000],[],3985592000000000,0,0,0,0.047619047619047616,1,12,3985592000000000,False,False,False,False,False,0,0,0,18168878
0x558BCA510151930B5b519F4986A2930f560ded3D,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,1695113567,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890,0,1,[0],[],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890
0x09f95aa6b086077a8F98de0b793aA2F57B756C10,0xCBD6832Ebc203e49E2B771897067fce3c58575ac,1695113567,1403226794626440000,1,0,[],[1403226794626440000],0,1403226794626440000,0,0,0.047619047619047616,1,0,1403226794626440000,False,False,False,False,False,0,0,0,18168890,0,1,[256600415411244270],[],256600415411244270,0,0,0,0.047619047619047616,1,13,256600415411244270,False,False,False,False,False,0,0,0,18168877
0xCBD6832Ebc203e49E2B771897067fce3c58575ac,0x1380117f8C91616EfF9946Dee654b22e15A8b257,1695113495,20945800000000000,0,1,[256600415411244270],[],256600415411244270,0,0,0,0.047619047619047616,1,13,256600415411244270,False,False,False,False,False,0,0,0,18168877,0,1,[20945800000000000],[],20945800000000000,0,0,0,0.047619047619047616,1,6,20945800000000000,False,False,False,False,False,0,0,0,18168884
